Species,Common_name,UM1,UM1,UM1,UM1,UM1,UM1,UM1,UM1,UM1,UM1,UM1,UM1,UM2,UM2,UM2,UM2,UM2,UM2,UM2,UM2,UM2,UM2,UM2,UM2,UM3,UM3,UM3,UM3,UM3,UM3,UM3,UM3,UM3,UM3,UM3,UM3,MM1,MM1,MM1,MM1,MM1,MM1,MM1,MM1,MM1,MM1,MM1,MM1,MM2,MM2,MM2,MM2,MM2,MM2,MM2,MM2,MM2,MM2,MM2,MM2,MM3,MM3,MM3,MM3,MM3,MM3,MM3,MM3,MM3,MM3,MM3,MM3,MM4,MM4,MM4,MM4,MM4,MM4,MM4,MM4,MM4,MM4,MM4,MM4,LM1,LM1,LM1,LM1,LM1,LM1,LM1,LM1,LM1,LM1,LM1,LM1,LM2,LM2,LM2,LM2,LM2,LM2,LM2,LM2,LM2,LM2,LM2,LM2,LM3,LM3,LM3,LM3,LM3,LM3,LM3,LM3,LM3,LM3,LM3,LM3
Anguilla anguilla,European eel,2990,8060,3925,10241,1235,0,23633,7482,0,0,0,0,28820,12807,10740,3749,3068,3899,446,7185,17431,0,0,0,981,0,24561,7126,0,27677,0,0,0,40655,24,0,10379,0,0,4775,9,0,0,5574,0,0,0,0,0,0,0,0,1368,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,15,0,0,0,3,260,0,12,0,2634,0,0,2,0,2,0,43,46,12,26,0,0,0,0,7,0,0,0,1028,0,13,0,0,0,0,0,0,11,0,14,0,0,10,0,31,10,0,55,0,0,4
Rutilus rutilus,Roach,25258,49933,21086,39652,35423,36253,19512,81686,40520,4861,1589,16971,83242,67696,102580,126742,34623,23188,51309,53124,22060,45865,0,0,11073,9526,62642,34129,3680,66707,8842,17094,8764,0,19115,15660,6690,1781,8886,13510,1138,6082,0,0,9715,2,22,0,3554,27809,38613,15323,13,0,0,0,0,0,0,11,10905,0,0,0,9585,18302,0,0,0,0,0,0,53,1880,4065,16721,6304,1440,2,0,0,0,3,462,18857,0,4965,13143,2748,108,0,0,3,10,3,0,0,0,424,0,0,5,3,0,0,8,0,0,76,0,8,29,5,30,5,0,42,27,229,0
Abramis brama,Common bream,4514,14643,8499,23532,11672,26602,20081,15994,11219,20353,152248,2,26925,20778,34219,14198,44895,8255,20623,20096,20613,0,0,0,1604,0,4096,22721,0,26472,1977,0,5758,20723,3769,3,21349,4842,15704,0,965,8716,0,0,2659,0,0,0,3584,2657,0,8998,24,0,0,0,0,0,0,10,5,0,0,0,0,0,5,5,0,0,0,0,8,5521,13,20,11,3,0,0,15817,0,0,0,7413,18803,9468,15,3,5196,0,0,0,2,0,3,0,3624,0,12,5,9928,9520,0,0,3,20191,0,0,0,0,0,0,0,108,0,0,261,0,9
Phoxinus phoxinus,Common minnow,3735,6943,2217,2751,9383,6673,6132,10856,5329,1664,5110,0,13716,8599,3687,11636,9591,5097,0,1409,4071,0,0,0,958,0,3198,9750,3,10694,12573,1722,19,5263,0,0,0,1924,2222,836,0,3019,0,4226,2,0,5244,5,0,0,0,12,0,16342,0,0,32,0,0,8,0,0,17705,7952,0,0,0,0,3,0,0,6,6,3275,1132,0,7374,0,0,0,0,5,0,172,8,14612,17889,9,0,9712,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,22570,5,6,0,0,0,0,0,0,68,0
Merlangius merlangus,Whiting,0,0,0,2,6,0,0,2,0,0,0,62,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,17,3,0,0,0,0,7,0,0,0,0,0,0,3034,0,9610,0,0,0,23,0,0,0,7209,0,0,0,7567,17,0,0,33,91,5636,0,0,0,0,0,8,19900,0,0,0,0,1599,0,0,3909,0,53,2,0,0,0,0,2924,7101,0,0,4526,20335,0,0,0,3192,2286,4,0,7071,14241,0,5967,1923,0,17,0,0,6,0,3022,17252,0,0,0,44295,0,1154,0,0,0,5
Gasterosteus aculeatus,Three-spined stickleback,5268,17874,5211,15506,11514,3584,7052,1762,1055,0,10499,0,20021,6776,23522,11369,9096,8028,5623,42448,11144,0,0,0,13900,6686,11160,45866,5657,35116,8,38870,27630,9,13773,8,5927,5529,18857,10807,1179,2018,0,4543,19348,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6032,0,0,0,0,3,0,0,3520,686,10,13324,0,0,0,0,0,0,0,32,8,0,9,7,28,0,0,5,0,9,4,0,0,0,7341,0,0,0,0,0,0,0,0,0,1387,0,0,5,0,8,0,17,40,30,0
Pomatoschistus microps,Common goby,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8818,0,0,0,0,0,0,0,0,0,13063,878,0,0,0,0,0,28820,0,0,0,0,0,14185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,5228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,12,0,0,9,0,0
Gobio gobio,Gudgeon,3929,10385,1472,2318,6022,2858,7977,16287,7313,0,18700,0,41,13989,14247,12009,6392,4398,6997,4045,15106,0,0,0,2888,3901,16381,5678,0,18,0,638,3242,1364,5,0,1595,0,0,0,0,2342,0,0,0,7095,10923,0,0,0,0,0,8,0,14,0,0,0,0,2,0,0,0,20965,0,0,0,0,0,0,0,0,0,0,0,4486,0,0,0,0,0,2,0,0,0,0,0,19,22,16,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,4,11,0,20,0,0,0,29,23,0
Platichthys flesus,European flounder,4,0,716,0,10288,2,19367,3,0,0,3,0,3,0,43,15,0,0,3577,0,0,0,16,0,10009,1688,16742,8,12219,93,11265,16,3,0,0,57,9478,0,2297,22439,8333,1576,0,26,0,2398,19,2,13766,11650,27568,0,102,0,33,5506,29224,262,0,99405,0,18,49807,0,0,25530,4,17310,120,0,0,24,6545,1007,11764,27,5103,698,8610,0,97,0,9663,4,15055,6774,20044,18975,19233,13705,0,0,0,16,3,38,0,30600,71608,0,10585,51,19,9244,161,20,28,55,0,170,3306,18,0,29,6380,11,0,785,24,0
Clupea harengus,Atlantic herring,0,0,0,0,0,0,9,13,2,0,18,46,0,0,0,0,0,0,0,0,18,13,0,4,0,0,0,2808,0,6,0,0,0,0,0,35,0,0,0,2954,0,0,0,0,0,0,40,0,31,24,0,11400,0,0,0,0,18,0,24,195,0,3,0,0,0,80,17,26695,192,0,0,0,2728,1024,3165,6604,0,790,18761,0,29,0,0,865,0,0,0,0,0,0,1658,18458,0,0,0,0,17059,22,0,14680,34,4884,17,0,0,3,0,0,0,0,19386,13588,21976,24283,6,476,0,21,3,19775
Squalius cephalus,Chub,1520,3667,690,0,2601,7064,15,13611,741,0,5,0,2,0,12,9,0,3333,0,0,48,9,0,0,2,10214,6,3,0,0,0,0,2810,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2069,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,15,0,0,0,0,5,0,0
Esox lucius,Northern pike,0,5650,1424,0,0,0,1240,6522,735,0,4191,0,0,0,6241,0,11143,0,0,1009,0,0,0,0,10,7,20,7423,0,0,0,0,0,0,7093,7762,0,0,0,4,6045,0,0,7644,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,9,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,7,0,555,7,0,0,26,0,0
Perca fluviatilis,European perch,3495,2699,2355,8259,1586,1069,12904,0,6858,0,5816,1196,9882,27670,10791,12769,1639,2622,30372,0,24216,2156,3535,25900,0,0,2,13909,10260,33593,0,2,11,0,0,5326,1724,835,8228,0,0,0,0,0,0,2773,19,13,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,11,6,5,0,0,54,0,0,0,0,0,2,0,0,9,0,3,51,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,52,0,0,0,0,13,0,2,2,0
Gymnocephalus cernua,Eurasian ruffe,3,1223,188,2787,4366,0,0,22878,0,0,2,0,2,0,3,5,1436,0,0,7158,0,0,0,0,0,0,69,0,0,8180,0,0,0,4,0,85047,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2368,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Salmo salar,Atlantic salmon,2663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Leuciscus leuciscus,Dace,2,31,7,27,1812,72,34,60,0,0,7,0,179,83,2684,304,82,1323,65,73,15362,1871,0,0,386,0,18,15,3911,9,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Solea solea,Common sole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16049,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,3356,0,0,0,0,84,0,0
Cottus gobio,European bullhead,401,0,527,840,3793,2845,0,0,0,0,0,0,143,0,6322,0,0,1276,0,1644,9772,1436,0,0,0,0,0,4156,0,3,7710,20522,0,0,13,0,0,0,3181,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmo trutta,Brown trout,0,4310,0,3965,0,0,0,6900,0,0,21,0,0,5805,5225,3977,0,0,0,0,0,0,0,0,0,3514,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,4210,2,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,12269,7,0,0,0,0,0,0,0,4,0,0,16589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,60,0,0
Barbatula barbatula,Stone loach,478,0,10,0,0,1101,820,2008,0,0,0,0,8820,802,0,0,0,1123,0,0,1739,0,3891,0,3,2,9022,2008,0,0,3,0,2371,0,0,0,0,18953,3143,0,0,0,0,6,3269,0,0,0,0,0,0,0,0,15334,0,0,0,0,0,2,0,0,18,0,0,0,2,0,0,0,13,0,0,2083,480,0,0,3,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,23,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,11,0
Thymallus thymallus,European grayling,0,0,120,1415,0,439,0,0,3711,0,0,0,0,0,0,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0
Ciliata mustela,Fivebeard rockling,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11355,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1846,0,0,0,14,0,0,0,0,10,0,0,0,0,3716,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,5457,0,0,0,0,0,0,2,0,3115,0,0,0,0
Sprattus sprattus,European sprat,0,0,0,0,0,0,0,0,0,62,0,0,0,0,2,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,11125,7017,0,1109,0,0,0,0,0,25,0,2942,0,0,0,0,0,0,0,0,3749,0,0,0,14,17,10593,0,6,0,0,0,0,0,19,11,0,2239,0,0,2725,0,21,56,8,16,0,0,0,9,0,0,13481,0,0,0,0,15,0,0,0,28352,24,26802,30,0,0,11917,0,0,31,2
Carassius carassius,Crucian carp,0,0,0,0,0,0,0,0,0,0,0,0,0,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelon labrosus,Thicklip grey mullet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blicca bjoerkna,White bream,0,0,190,149,0,0,0,0,0,0,3580,0,0,0,1425,1800,2465,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,5743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Sardina pilchardus,European pilchard,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gadus morhua,Atlantic cod,0,0,0,0,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3871,0,0,0,0,0,0,4237,0,0,0,1847,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sparus aurata,Gilt-head bream,0,0,260,0,0,0,0,0,0,0,0,1283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scomber scombrus,Atlantic mackerel,0,0,0,20,14,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,34,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3549,0,0,0,0,0,0,0,0,0,21474,0,133,0,0,0,0,0,0,23526,19315,3369,0,2130,571,0,0,1442,21,0,0
Pomatoschistus minutus,Sand goby,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8094,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4938,0,0,0,0,0,0,0,0,0,0,0,0,0,2501,11780,0,0,0,0,0,2056,0,0,0,0,0,0,0,0,6,0,8
Lipophrys pholis,Shanny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18842,9202,0,0,0,0,38,16,0,0,0,0,0,0,1511,0,0,0,0,0,0,0,0
Dicentrarchus labrax,European seabass,0,7049,2668,0,1302,0,646,0,0,0,0,0,0,1540,760,0,2460,0,1889,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limanda limanda,Common dab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4928,2,0,0,0,1893,15380,0,0,0,0,0,2692,0,0,0,0,0,0,0,0,0,0
Osmerus eperlanus,European smelt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammodytes marinus,Raitt's sand eel,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6195,0,0,4,0,0,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4481,0,0,0,0,0,0,0,0
Syngnathus rostellatus,Lesser pipefish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pleuronectes platessa,European plaice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trisopterus minutus,Poor cod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12386,16790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oncorhynchus gorbuscha,Pink salmon,0,0,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprinus carpio,Common carp,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buglossidium luteum,Yellow sole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scardinius erythrophthalmus,Rudd,0,0,0,0,0,5866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pungitius pungitius,Ninespine stickleback,0,0,0,1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0